"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily" "CAA"
"239" 3130 87 1198.173 44.0417808219178 12.6341369863014 594.698326304698 104 10.8392758490137 0.186807420403397 0 0
"240" 3131 87 3694.687 156.678904109589 37.8750684931507 1067.83341346574 139 30.2399657826247 0.213883598060137 0 0
"241" 3138 87 1900.18 68.492602739726 26.9874520547945 769.306887942824 168 17.4397322274575 0.0295719787988877 0 0
"242" 3140 87 9254.329 346.18098630137 75.2472876712329 1585.95234492402 216 73.1709258071507 0.252726252300296 0 0
"243" 3149 87 9940.743 283.502136986301 77.2367123287671 1616.69538475919 194 76.0499226386301 0.282085451680488 0 0
"244" 3178 87 2295.196 88.773698630137 28.6393424657534 487.831865548412 83 18.978730959337 0.0107357326924438 0 0
"245" 3297 87 3824.884 101.587698630137 44.5584109589041 727.167390077313 92 30.3544548226685 0.195230310014466 0 0
"246" 3497 87 6678.077 165.206876712329 51.1845753424657 981.390097078283 256 56.5417461912329 0 1.01787627123288 0
"247" 3644 87 817.154 9.53169863013699 8.06687671232877 313.528115783369 104 7.3800068409863 0.0133138890739726 0 0
"248" 3775 87 3216.096 46.4175890410959 35.120904109589 908.356012172132 180 23.9616321960658 0.0283679688727726 0 0
"249" 3776 87 577.684 18.0309863013699 11.0939452054795 732.376851719097 132 7.73041498282192 0.101999768050849 0 0
"250" 3788 87 1977.266 33.0075068493151 16.8783561643836 1015.52850256704 213 17.0135194826466 0.112179099559858 0 0
"251" 3796 87 1446.463 22.4066301369863 17.575698630137 507.266011364756 141 11.9459947250301 0.0406026404383562 0 0
"252" 3936 87 1483.797 23.7240821917808 18.1529315068493 749.416783815115 146 11.3969357078795 0.0252665038086904 0 0
"253" 3945 87 510.693 12.3418082191781 7.79013698630137 430.203909618816 79 5.06861658387945 0.00950992076712329 0 0
"254" 3946 87 995.971 28.7832876712329 18.2915342465753 469.079802303651 69 8.51810957963836 0.0152158732273973 0 0
"255" 3947 87 4536.204 410.620712328767 83.4805479452055 987.589800687151 243 35.3302709917808 0.0140936148967562 0 0
"256" 3948 87 5750.396 182.792136986301 72.8999178082192 1847.54657415303 253 46.300602124274 0.250919043612559 0 0
"257" 4054 87 900.933 28.4851232876712 19.3986301369863 282.683247616129 61 7.40736384152877 0.00332941651594521 0 0
"258" 4072 87 1173.509 85.0358904109589 18.505095890411 651.835965724482 164 10.8024111759123 0.0679453488 0.0483314182438356 0
"259" 4158 87 3878.468 58.0591780821918 60.2084383561644 1207.92976669405 263 35.1376755047178 0.0787629780973479 0 0
"260" 4162 87 4030.948 36.1486849315068 42.7888219178082 998.700228283543 215 32.3472319015069 0.0337602187232877 0.0717017835616438 0
"261" 6002 87 5259.282 55.7845753424658 42.0243561643836 2025.61214474896 365 40.5103527756493 0.329657592679397 0.263975937435616 0
"262" 6004 87 7689.74 103.644191780822 81.2651780821918 2274.21267120635 247 61.4074955458685 0.222056649912329 0 0
"263" 6016 87 2004.101 24.7224109589041 20.5808219178082 876.877018163392 124 16.5327881702795 0.0289287742961096 0 0
"264" 6017 87 4363.426 37.9369315068493 28.5910410958904 1912.51720835477 241 36.9159720741699 0.100080456956679 0 0
"265" 6095 87 4773.02 51.3355890410959 56.7025205479452 1238.27239103891 260 40.8586676750466 0.022403973817726 0 0
"266" 6139 87 7520.394 88.200904109589 138.155780821918 1204.36311186521 133 62.0364918544603 0.136443756821918 0 0
"267" 6146 87 14168.303 116.992876712329 116.690739726027 2494.50718107221 687 128.49909835509 0.327161508263014 0 0
"268" 6147 87 11763.245 196.222849315068 106.750876712329 1803.41396579116 524 105.825056437414 0.347172809621918 0 0
"269" 6155 87 5523.395 157.27397260274 52.5465479452055 1373.31341827831 254 43.428512430789 0.0457386721150685 0 0
"270" 6178 87 4224.102 36.1740547945206 39.2333698630137 734.443543031106 120 32.9840473176986 0.0265549362016438 0 0
"271" 6193 87 6835.37 72.0830136986301 77.3019178082192 1070.4277590525 149 53.7743464010959 0 0.236950868778082 0
"272" 6248 87 2656.066 32.0381643835616 54.2310136986301 1124.97354233791 114 24.736821134663 0.0806818339293534 0 0
"273" 6264 87 7384.308 98.3436712328767 57.6427123287671 1756.73242188219 252 55.3076208736767 0.183523584060888 0 0
"274" 8042 87 9484.824 165.847342465753 103.679424657534 1519.02834343476 182 69.1014649858356 0.220120207471529 0 0
"275" 8102 87 12582.77 1006.38473972603 168.886410958904 2695.64251595574 367 101.226358087299 0.106620466563666 0 0
"276" 8226 87 3429.586 108.517726027397 28.5568767123288 968.241875646276 163 27.2820684048658 0.0167741647975233 0.169457409830137 0
"277" 3 88 7756.97 135.912684931507 64.8043835616438 1989.99283525618 454 60.1680262373753 0.0395014489428329 0.549581484682192 0
"278" 8 88 6752.982 188.917808219178 57.8133424657534 1865.72760810199 546 53.4605830897151 0.128019538519792 0 0
"279" 470 88 3738.748 35.5913424657534 47.4711780821918 930.43470620602 111 31.314315277874 0.059070377115074 0 0
"280" 602 88 3976.69 57.533397260274 33.3107397260274 1259.42682625763 124 31.6068168023671 0.144918171993058 0 0
"281" 641 88 5092.423 332.619726027397 63.5472328767123 1462.84806169573 239 43.0224078208767 0.0337264956 0.556752706849315 0
"282" 708 88 5186.062 196.834383561644 63.3236712328767 1017.80744820878 318 43.0100144124822 0.0403126215780822 0 0
"283" 709 88 10054.778 262.641178082192 120.021589041096 1667.7169541381 504 78.9649187436329 0.0339726744 0 0
"284" 728 88 5411.953 251.737178082192 47.9488219178082 1588.02260684347 476 44.4446683409753 0.0788556188893315 0 0
"285" 856 88 3289.077 63.8902191780822 38.525698630137 1029.79079162218 160 26.3976194373699 0.0360102086474795 0 0
"286" 861 88 3137.054 309.726794520548 71.8895890410959 1213.32008164506 285 26.9800060537479 0.0583772556452055 0 0
"287" 862 88 421.9599 34.1994246575343 6.03591780821918 489.723281207674 97 3.75074037139726 0.0186659342169041 0 0
"288" 863 88 511.9101 32.9119726027397 4.96117808219178 383.095493427967 94 4.36491504613151 0.0370639247300384 0 0
"289" 864 88 1373.146 89.2608493150685 13.1499178082192 737.418885713602 146 11.3015689634301 0.264276681694373 0 0
"290" 876 88 4482.961 424.790054794521 108.762465753425 1514.21102705325 314 39.8810197175836 0 0.0441066335342466 0
"291" 879 88 3943.263 53.0168219178082 55.8661369863014 3138.10855463219 384 36.7843256725151 0 0.0954685561643836 0
