"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily"
"41" 2535 1732889100 0.02420167 14.4161917808219 243362.238356164 0.000468622 16395086400000 0.0130708397798137 0 1.02284882605479e-08
"42" 2549 4073624000 0.0488794 52.4561643835616 971027.77260274 0.0016760128 43183724200000 0 0 2.06717847871233e-08
"43" 2554 3334655000 0.05101177 28.0109589041096 549633.819178082 0.001157772 34380188800000 0 0 2.15497181260274e-08
"44" 2642 1428566000 0.02416688 11.7336438356164 245355.504109589 0.0007387688 1.4818546e+13 0.037230328109589 0 1.02117953145205e-08
"45" 2706 2122128000 0.01388112 23.4774794520548 198026.695890411 0.000578886 2.0627493e+13 0.0334289902063562 0 5.86368835479452e-09
"46" 2718 2277912000 0.01504352 18.1642465753425 526485.789041096 0.0008380064 21979780600000 0.13223414655429 0 6.35268167178082e-09
"47" 2721 2099873000 0.01446747 16.5001369863014 424922.032876712 0.0008049272 20425830400000 0.0699475479588986 0 6.11877969452055e-09
"48" 2727 9168595000 0.05868152 68.1642739726027 806753.232876712 0.0010419948 82757729400000 0.182946291402575 0 2.4798290680274e-08
"49" 2790 449182900 0.00520245 3.39498630136986 94052.1835616438 0.0003142524 5913038600000 0 0 2.78732052082192e-09
"50" 2850 14836873000 0.16749523 189.86002739726 1293919.1369863 0.0029605884 1.44998531e+14 0.0704515063133096 0 7.08095660712329e-08
"51" 2864 2621103100 0.07108694 36.7962191780822 561442.457534247 0.0015933148 29018544800000 0.0167364690903123 0 3.0034520179726e-08
"52" 2872 7298746000 0.24805751 116.656931506849 999162.723287671 0.0021060424 69585353400000 0.21051557194034 0 1.04788977066575e-07
"53" 2876 7924170000 0.21634482 135.874657534247 806472.673972603 0.0018634616 77270329400000 0.0183453790684932 0 9.1455665079452e-08
"54" 3098 1429998000 0.0029823 21.8697534246575 600041.430136986 0.0012570096 16886212400000 0.127547070817907 0 8.99073722547945e-09
"55" 3130 1177933000 0.01572983 12.5628493150685 289328.457534247 0.0005843992 13346732800000 0.120264171155704 0 6.63382010958904e-09
"56" 3131 3931272000 0.0625365 40.4251232876712 504353.271232877 0.0007883876 40196893200000 0.199499603465688 0 2.64049485961644e-08
"57" 3138 1772682000 0.02364382 25.8667123287671 378796.01369863 0.0009537836 20579913400000 0.0405783260664658 0 9.99404028986301e-09
"58" 3140 8937865000 0.12894669 74.3278630136986 773154.463013699 0.0011632852 90285381200000 0.421360925675622 0 5.44370298616438e-08
"59" 3149 9753995000 0.10410758 75.6027945205479 780751.62739726 0.0010695608 9.2796914e+13 0.432196593471616 0 4.40825696769863e-08
"60" 3178 2208604000 0.03096902 27.3619726027397 240174.128767123 0.0004631088 2.2657166e+13 0.0224191323616438 0 1.30814484320548e-08
"61" 3297 3133120000 0.02988219 37.0957534246575 344271.476712329 0.0004906748 31282128600000 0.2242728256608 0 1.26090838265753e-08
"62" 3497 6330736000 0.04037896 47.941397260274 474456.528767123 0.0014113792 69707012200000 0 0.448798565753425 2.15144854915068e-08
"63" 3644 488829000 0.0025471 5.02471232876712 152946.723287671 0.0005954256 5748606600000 0.0236061863013699 0 1.07603260027397e-09
"64" 3775 3610499000 0.01848507 39.6374794520548 447424.542465753 0.0009592968 34083245600000 0.0352578052991836 0 7.84602989342466e-09
"65" 3776 1317808000 0.00922061 15.8390136986301 362152.745205479 0.0007222292 1.3130418e+13 0.166258336397425 0 3.89537402958904e-09
"66" 3788 2392297000 0.01558983 20.5193150684931 483435.964383562 0.0011357192 25718863600000 0.173613730657759 0 6.5784017769863e-09
"67" 3796 1058480000 0.00727227 13.3431506849315 237893.991780822 0.0007222292 11037689400000 0.0566548471232877 0 3.07016920273973e-09
"68" 3936 1378300000 0.00839531 17.6314246575342 364539.065753425 0.0007277424 13447150200000 0.0247196563860822 0 3.5581749139726e-09
"69" 3945 397881000 0.00388413 6.09813698630137 212702.610958904 0.0004575956 5087173400000 0.0152158732273973 0 1.63976278191781e-09
"70" 3946 903630000 0.00957773 16.8337260273973 225614.287671233 0.000441056 9830768800000 0.0180688494575342 0 4.03895424164384e-09
"71" 3947 4642436000 0.15363194 85.8539726027397 489596.950684931 0.0013617604 45116693200000 0.0145245458276877 0 6.49097457986301e-08
"72" 3948 8454774000 0.10040492 103.718328767123 916948.002739726 0.0014279188 8.2874743e+13 0.282025144619112 0 4.25021033868493e-08
"73" 4054 1074393000 0.02501967 24.4743835616438 138937.934246575 0.0003363052 11026686800000 0.000475630930849315 0 1.05703684668493e-08
"74" 4072 1030130000 0.02241685 15.2686575342466 311622.328767123 0.000882112 11804965600000 0.0753914144219178 0 9.45881417671233e-09
"75" 4158 4881023000 0.02904478 76.0295890410959 583502.468493151 0.0016980656 55451896400000 0.0871406719785863 0 1.3328349870411e-08
"76" 4162 3996256000 0.01850838 43.4373150684932 485181.068493151 0.001405866 4.0603094e+13 0.0448517910680384 0.102365737808219 1.15486441561644e-08
